id,name,lat,lon,tipo
18976,Itaquaquecetuba,-23.48577,-46.348456,onibus
18978,Jundiapeba,-23.542687,-46.256308,onibus
18979,Brás Cubas,-23.536255,-46.225325,onibus
18980,Mogi Das Cruzes,-23.521185,-46.197135,onibus
18981,Estudantes,-23.515696,-46.18493,onibus
18984,Ana Rosa,-23.581388,-46.638455,onibus
18985,Palmeiras - Barra Funda,-23.525592,-46.666651,onibus
18986,Palmeiras - Barra Funda,-23.525703,-46.666803,onibus
18987,Brás,-23.545461,-46.616228,onibus
18989,Paraíso,-23.5753,-46.6408,onibus
19000,Sé,-23.550611,-46.633505,onibus
19040,Largo Treze,-23.654465,-46.710305,onibus
19041,Santo Amaro,-23.655575,-46.721095,onibus
19042,Giovanni Gronchi,-23.643975,-46.734112,onibus
19043,Vila Das Belezas,-23.640331,-46.745882,onibus
19044,Campo Limpo,-23.648987,-46.758878,onibus
19045,Capão Redondo,-23.659955,-46.768691,onibus
19070,Via Transversal Sul,-23.580717,-46.794016,onibus
19071,"Av. Dos Ourives, 780",-23.655442,-46.607946,onibus
19072,"Av. Dos Ourives, 780",-23.655265,-46.607882,onibus
19073,"Rod. Arão Sahm, 25020",-23.373502,-46.575335,onibus
19076,"Estr. Mombaça, 1",-23.734689,-46.796429,onibus
19077,"Av. Intercontinental, 625",-23.601516,-46.753583,onibus
104763,"Av. Luca, 455",-23.569481,-46.559044,onibus
105268,"R. Montezina, 226",-23.574844,-46.569858,onibus
105368,"R. Do Orfanato, 1795",-23.573757,-46.570172,onibus
105388,"Av. Sapopemba, 1985",-23.572199,-46.569076,onibus
105424,"R. Farol Paulistano, 86",-23.571971,-46.577453,onibus
105431,"R. Pirassununga, 815",-23.563638,-46.578721,onibus
105432,"R. Pirassununga, 1110",-23.566062,-46.580119,onibus
109574,"R. Fernando Falcão, 25",-23.554218,-46.583823,onibus
109576,"R. Tié, 84",-23.55691,-46.581024,onibus
109594,"R. Diogo Lopes, 67",-23.5621,-46.576811,onibus
109595,"R. Pirassununga, 826",-23.563852,-46.578953,onibus
